Name,Price,Rating,Review Count,URL
"AutoFull Gaming Chair with 3D Bionic Lumbar Support, Racing Style PU Leather Ergonomic Office Desk Reclining High Back Adjustable Computer Chairs with Footrest, Brown",£249.99,4.6 out of 5 stars,"2,134",https://amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A045750326H849V2Y5FYP&url=%2FAutoFull-Ergonomic-Computer-Adjustable-Footrest%2Fdp%2FB092DF433H%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2HPJT74CFLGNR%26keywords%3Dgaming%2Bchair%26qid%3D1658073595%26sprefix%3Dgaming%2Bchai%252Caps%252C166%26sr%3D8-33-spons%26psc%3D1&qualifier=1658073595&id=3924973261664944&widgetName=sp_mtf
"Dripex Gaming Chair Ergonomic Home Office Desk Chairs Adjustable High Back Swivel PU Leather Racing Computer Desk Chair with Lumbar Support and Headrest (Red, with footrest)",£111.66,4.4 out of 5 stars,473,https://amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0593865OB5PVIY3ZJ89&url=%2FDripex-Ergonomic-Adjustable-Computer-Headrest%2Fdp%2FB08GF7MFQC%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2HPJT74CFLGNR%26keywords%3Dgaming%2Bchair%26qid%3D1658073595%26sprefix%3Dgaming%2Bchai%252Caps%252C166%26sr%3D8-34-spons%26psc%3D1&qualifier=1658073595&id=3924973261664944&widgetName=sp_mtf
Ergonomic Office Chair Computer Chair Adjustable Head & Arm Rests with Lumbar Support High Back with Breathable Mesh (Black),£99.99,3.9 out of 5 stars,358,https://amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A038907624Y0IAEM8A6SZ&url=%2FErgonomic-Computer-Adjustable-Support-Breathable%2Fdp%2FB07Z8L89FR%2Fref%3Dsr_1_35_sspa%3Fcrid%3D2HPJT74CFLGNR%26keywords%3Dgaming%2Bchair%26qid%3D1658073595%26sprefix%3Dgaming%2Bchai%252Caps%252C166%26sr%3D8-35-spons%26psc%3D1&qualifier=1658073595&id=3924973261664944&widgetName=sp_mtf
"AutoFull Gaming Chair Ergonomic Office Chair High Back Swivel Chair Racing Pu Leather Computer Chair With Arms,Thicker Bucket Seat,Adjustable Height,Back Support And Footrest,Black (3 Year Warranty)",£269.99,4.5 out of 5 stars,"1,657",https://amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0121363610GXNSJ91DM&url=%2FAutoFull-Ergonomic-Computer-Adjustable-Footrest%2Fdp%2FB08CCW6MSP%2Fref%3Dsr_1_36_sspa%3Fcrid%3D2HPJT74CFLGNR%26keywords%3Dgaming%2Bchair%26qid%3D1658073595%26sprefix%3Dgaming%2Bchai%252Caps%252C166%26sr%3D8-36-spons%26psc%3D1%26smid%3DA33NRNS81HOO45&qualifier=1658073595&id=3924973261664944&widgetName=sp_mtf
Millhouse New Designed Racing Sport Swivel with Back Support Office Gaming Chair X2710S (Black-Red),£76.99,4.3 out of 5 stars,"2,163",https://amazon.co.uk/Millhouse-Designed-Racing-Swivel-Black-Red/dp/B079Z9F7SS/ref=sr_1_37?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-37
"Vinsetto Racing Gaming Chair with RGB LED Light, Lumbar Support, Adjustable Height, Swivel Home Office Computer Recliner High Back Gamer Desk Chair, Black Grey",£169.99,4.6 out of 5 stars,59,https://amazon.co.uk/Vinsetto-Racing-Support-Computer-Recliner/dp/B09BBM4HTP/ref=sr_1_38?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-38
"AutoFull Gaming Chair with 3D Bionic Lumbar Support, Racing Style PU Leather Ergonomic Office Desk Reclining High Back Adjustable Computer Chairs with Footrest, Grey",£249.99,4.6 out of 5 stars,"2,134",https://amazon.co.uk/AutoFull-Ergonomic-Computer-Adjustable-Footrest/dp/B092DCB92S/ref=sr_1_39?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-39
"IntimaTe WM Heart Gaming Chair High Back Office Chair Desk Chair Racing Chair Reclining Chair Computer Chair Swivel Chair PC Chair, Red + Black",£110.00,4.5 out of 5 stars,"9,248",https://amazon.co.uk/IntimaTe-WM-Heart-Reclining-Computer/dp/B01EIXO56O/ref=sr_1_40?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-40
"Vinsetto Racing Gaming Chair with Lumbar Support, Headrest, Swivel Wheel, PVC Leather Gamer Desk Chair for Home Office, Black Grey",£124.99,4.7 out of 5 stars,62,https://amazon.co.uk/Vinsetto-Racing-Support-Headrest-Leather/dp/B099JD1TC3/ref=sr_1_41?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-41
"Hbada Gaming Chair Desk Chair with Lumbar Support, Black",£169.99,4.4 out of 5 stars,101,https://amazon.co.uk/Hbada-Gaming-Chair-Lumbar-Support/dp/B09B2899DQ/ref=sr_1_42?crid=2HPJT74CFLGNR&keywords=gaming+chair&qid=1658073595&sprefix=gaming+chai%2Caps%2C166&sr=8-42
